action,adventure,ai,arts,cars,comedy,dementia,demons,drama,ecchi,fantasy,fi,game,harem,hentai,historical,horror,josei,kids,life,magic,martial,mecha,military,movie,music,mystery,ona,ova,parody,police,power,psychological,romance,samurai,school,sci,seinen,shoujo,shounen,slice,space,special,sports,super,supernatural,thriller,tv,unknown,vampire,yaoi,yuri
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40646561291440686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3844592653013327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45268078388727984,0.0,0.47905336507551555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5025582156836139,0.0,0.0,0.0,0.0,0.0,0.0
0.28521097210410934,0.30743991622547956,0.0,0.0,0.0,0.0,0.0,0.0,0.32508983844037315,0.0,0.3093790957215578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4351767988575129,0.0,0.0,0.5047846123614315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3396995050919852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25130552416437235,0.0,0.0,0.0,0.0
0.24473388407097416,0.0,0.0,0.0,0.0,0.19603200146498292,0.0,0.0,0.0,0.0,0.0,0.2762791477090296,0.0,0.0,0.0,0.36990844522854105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43766755864015805,0.0,0.0,0.0,0.0,0.5377401619826206,0.0,0.2762791477090296,0.0,0.0,0.29148941460710154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21564029098708282,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3734431081695543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3734431081695543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7975718661416176,0.29147831524952755,0.0,0.0,0.0,0.0
0.24473388407097416,0.0,0.0,0.0,0.0,0.19603200146498292,0.0,0.0,0.0,0.0,0.0,0.2762791477090296,0.0,0.0,0.0,0.36990844522854105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43766755864015805,0.0,0.0,0.0,0.0,0.5377401619826206,0.0,0.2762791477090296,0.0,0.0,0.29148941460710154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21564029098708282,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.27102722636884247,0.0,0.0,0.3856712053607146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4545454347688853,0.0,0.0,0.0,0.40300342273938516,0.0,0.0,0.0,0.5655908334188168,0.0,0.0,0.0,0.29813698540459493,0.0,0.0,0.0,0.0
0.3104886462394597,0.3346876969164354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5385067943909657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36980638818384814,0.0,0.0,0.0,0.0,0.5385067943909657,0.0,0.0,0.2735782267233806,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34126849934943365,0.0,0.0,0.3379971526970055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5299060960555614,0.0,0.0,0.0,0.0,0.28093252313044925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3379971526970055,0.0,0.0,0.0,0.0,0.5434409882406127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2419533273599159,0.0,0.0,0.0,0.0,0.19380477371789429,0.0,0.0,0.0,0.0,0.0,0.27314018784981775,0.0,0.0,0.0,0.3657057112517491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.260852669977254,0.0,0.0,0.0,0.0,0.43269497598365736,0.0,0.0,0.0,0.0,0.5316305992554067,0.0,0.27314018784981775,0.0,0.0,0.2881776425120157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.24473388407097416,0.0,0.0,0.0,0.0,0.19603200146498292,0.0,0.0,0.0,0.0,0.0,0.2762791477090296,0.0,0.0,0.0,0.36990844522854105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43766755864015805,0.0,0.0,0.0,0.0,0.5377401619826206,0.0,0.2762791477090296,0.0,0.0,0.29148941460710154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21564029098708282,0.0,0.0,0.0,0.0
